model_year,milage,accident,clean_title,price,car_id,log_price,car_age,engine_hp,engine_displacement_L,num_cylinders,is_turbo_supercharged,milage_per_year,is_luxury,is_electric,is_hybrid,is_common_color,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,fuel_type_Unknown,fuel_type_not supported,transmission_CVT,transmission_Manual,transmission_Unknown,engine_fuel_detail_Electric,engine_fuel_detail_Flex Fuel,engine_fuel_detail_Gasoline,engine_fuel_detail_Hybrid,engine_fuel_detail_Unknown,brand_freq,model_freq,ext_col_freq,int_col_freq,brand_model_freq
2022,-0.8832373935230751,0,0.0,38978.0,3631,10.570778318550847,-1.062311903179474,-0.16179092017170416,-1.0247968750140293,-0.13420722710911134,1,-0.1545051942805798,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.09628336243452232,0.003492142678972312,0.20354203043152905,0.011224744325268148,0.003492142678972312
2023,-1.0942334506371136,0,0.0,92888.0,3632,11.439160510902152,-1.2261374309470734,0.8419396185860825,1.8518023692534096,1.2261891660146014,0,-0.7231164961230354,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.02269892741332003,0.001247193813918683,0.12372162634073335,0.5061112496882015,0.001247193813918683
2022,-0.730493306858539,1,0.0,64000.0,3633,11.06665398721974,-1.062311903179474,0.6594431569937576,1.409248639366111,1.2261891660146014,0,0.4690700450185678,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.014716887004240458,0.0004988775255674732,0.08730356697430781,0.03916188575704665,0.0004988775255674732
2014,-0.09978090192597339,0,0.0,33800.0,3634,10.428245666832275,0.2482923189613204,0.1119537722167831,-0.5084841901455145,-0.13420722710911134,0,-0.3345220261134934,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.03242703916188576,0.0004988775255674732,0.06510351708655525,0.5061112496882015,0.0004988775255674732
2020,-0.3962042577917941,0,0.0,34999.0,3635,10.46310334047155,-0.7346608476442754,-0.4355356125601914,-0.13968941523943265,-0.13420722710911134,0,0.4597011920429953,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.015714642055375407,0.001247193813918683,0.20354203043152905,0.5061112496882015,0.001247193813918683
2001,0.8851096030475598,0,0.0,11000.0,3636,9.305741456739435,2.378024179940111,-1.1655214589294907,0.08158744970421634,-0.13420722710911134,0,-0.5181728372823865,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0037415814417560487,0.0004988775255674732,0.20354203043152905,0.11773509603392367,0.0004988775255674732
2016,0.33548332900990263,0,0.0,31906.0,3637,10.370580700437113,-0.07935873657387821,-0.16179092017170416,0.22910535966664922,-0.13420722710911134,0,0.5393364423353617,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.04963831379396358,0.001746071339486156,0.0002494387627837366,0.5061112496882015,0.001746071339486156
2006,-0.22898323690852077,1,0.0,37500.0,3638,10.53212287826962,1.5588965411021147,-0.02491857397746052,-0.06593046025821621,-0.13420722710911134,0,-0.9512480660782263,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.05013719131953105,0.001247193813918683,0.12372162634073335,0.5061112496882015,0.001247193813918683
2019,-0.6983648399001791,1,0.0,79950.0,3639,11.289169226001263,-0.5708353198766761,0.3765736415256541,-1.61486851486376,-1.4946036202328241,0,-0.500606237953188,1,0,1,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.09353953604390122,0.001247193813918683,0.12372162634073335,0.13444749314043403,0.001247193813918683
2000,2.477706235720976,1,0.0,2300.0,3640,7.741099090035366,2.5418497077077107,-0.9647753511779334,-0.5084841901455145,-0.13420722710911134,0,0.2187061869523433,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.028934896482913443,0.0002494387627837366,0.08730356697430781,0.13444749314043403,0.0002494387627837366
2001,0.518156612573149,0,0.0,12850.0,3641,9.461176908307142,2.378024179940111,-0.16179092017170416,1.4830075943473278,1.2261891660146014,0,-0.7054327861316423,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0037415814417560487,0.0009977550511349464,0.01845846844599651,0.5061112496882015,0.0009977550511349464
2018,0.3730430368112234,0,0.0,43775.0,3642,10.686841000982222,-0.4070097921090768,-0.16179092017170416,1.187971774422462,-0.13420722710911134,0,1.216704512469255,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.07283611873285109,0.0022449488650536295,0.0004988775255674732,0.014716887004240458,0.0022449488650536295
2018,0.03772128702081698,1,0.0,24900.0,3643,10.122663242288953,-0.4070097921090768,-0.910026412700236,-1.2460737399576782,-1.4946036202328241,0,0.6300135550632242,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09353953604390122,0.0004988775255674732,0.12372162634073335,0.5061112496882015,0.0004988775255674732
2018,-0.44401447647982967,1,0.0,39848.0,3644,10.592852589800613,-0.4070097921090768,0.3126998799683404,-0.5084841901455145,-0.13420722710911134,0,-0.21284861084631782,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07857321027687703,0.001247193813918683,0.20354203043152905,0.03916188575704665,0.001247193813918683
2014,0.389700117002135,1,0.0,24900.0,3645,10.122663242288953,0.2482923189613204,1.0700601955764886,0.524141179591515,1.2261891660146014,0,0.2104684100450945,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09353953604390122,0.001247193813918683,0.22649039660763282,0.03916188575704665,0.001247193813918683
2015,-0.49182469516786526,1,0.0,17900.0,3646,9.792611856190192,0.0844667911937211,-0.7092803049486787,-0.8772789650515964,-0.8144054236709677,0,-0.6879832974646385,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.009478672985781991,0.0002494387627837366,0.09329009728111748,0.11773509603392367,0.0002494387627837366
2022,-0.8456203134593286,0,0.0,46500.0,3647,10.747229096720554,-1.062311903179474,0.8875637339841637,-0.13968941523943265,-0.13420722710911134,0,-0.0009340792559870465,1,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.021701172362185085,0.004240458967323522,0.12372162634073335,0.5061112496882015,0.004240458967323522
2019,0.904233690522774,0,0.0,61995.0,3648,11.034825145816942,-0.5708353198766761,1.1156843109745698,2.2205971441594916,1.2261891660146014,0,2.770684926017551,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09628336243452232,0.0007483162883512097,0.22649039660763282,0.5061112496882015,0.0007483162883512097
2023,-1.2048471725937528,0,0.0,39998.0,3649,10.596609732783568,-1.2261374309470734,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,-1.4004845662569287,0,0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.014716887004240458,0.0004988775255674732,0.12372162634073335,0.0002494387627837366,0.0004988775255674732
2016,0.49038843755913797,1,0.0,15499.0,3650,9.648595302907339,-0.07935873657387821,-0.9830249973371659,-1.2460737399576782,-1.4946036202328241,0,0.7501356342857434,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.049887752556747315,0.001247193813918683,0.22649039660763282,0.5061112496882015,0.001247193813918683
2020,0.3333031830377282,0,0.0,30825.0,3651,10.336113768706666,-0.7346608476442754,-0.16179092017170416,-1.0247968750140293,-0.13420722710911134,1,2.2466225200739425,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.09628336243452232,0.0009977550511349464,0.12372162634073335,0.011224744325268148,0.0009977550511349464
2020,-0.9154232327438606,1,0.0,41000.0,3652,10.62135173563291,-0.7346608476442754,1.2069325417707322,0.966694909478813,1.2261891660146014,0,-0.8121205993909744,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09628336243452232,0.003991020204539786,0.08730356697430781,0.5061112496882015,0.003991020204539786
2003,0.6938687282954175,0,0.0,28000.0,3653,10.239995502805316,2.0503731244049126,-0.8005285357448411,-1.2460737399576782,-1.4946036202328241,0,-0.5261576551592949,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.015714642055375407,0.0009977550511349464,0.09329009728111748,0.5061112496882015,0.0009977550511349464
2015,0.07711690721975831,0,0.0,25999.0,3654,10.165851817003619,0.0844667911937211,-0.07054268937554173,-0.5084841901455145,-0.13420722710911134,0,0.008825142593567734,1,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.09353953604390122,0.0007483162883512097,0.06510351708655525,0.5061112496882015,0.0007483162883512097
2018,-1.1256352022714156,0,0.0,491836.0,3655,13.105902639769198,-0.4070097921090768,3.123145388490143,2.0730792341970585,2.5865855591383142,0,-1.4054366742583027,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.006485407832377151,0.0002494387627837366,0.20354203043152905,0.11773509603392367,0.0002494387627837366
2004,1.4970804022544155,0,0.0,3200.0,3656,8.071218539969863,1.8865475966373135,0.0663296568187019,1.4830075943473278,1.2261891660146014,0,-0.006510777455732605,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.022449488650536295,0.0002494387627837366,0.009478672985781991,0.13444749314043403,0.0002494387627837366
2005,1.6743606931496515,1,0.0,6900.0,3657,8.839421607620602,1.7227220688697142,-0.20741503556978536,1.409248639366111,1.2261891660146014,0,0.1817975906550754,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.028934896482913443,0.0004988775255674732,0.01845846844599651,0.13444749314043403,0.0004988775255674732
2021,-0.8627363717496453,0,0.0,33591.0,3658,10.42204322236403,-0.8984863754118747,-0.16179092017170416,-0.8772789650515964,-0.13420722710911134,0,-0.45346919641983885,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.018957345971563982,0.0002494387627837366,0.001247193813918683,0.5061112496882015,0.0002494387627837366
2020,-0.8704816271771072,0,0.0,69999.0,3659,11.156250521031495,-0.7346608476442754,0.24882611841102673,1.187971774422462,1.2261891660146014,0,-0.7020365769279973,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07283611873285109,0.0009977550511349464,0.12372162634073335,0.5061112496882015,0.0009977550511349464
2004,-0.004160464549902201,0,0.0,5900.0,3660,8.682877107057168,1.8865475966373135,-1.3480179205218155,-0.21344837022064908,-0.13420722710911134,0,-0.8820523948157836,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07283611873285109,0.0002494387627837366,0.009478672985781991,0.13444749314043403,0.0002494387627837366
2011,1.6118249271057008,0,0.0,18995.0,3661,9.851983709669012,0.7397689022641183,-0.837027828063306,0.22910535966664922,-0.13420722710911134,0,0.8913376327033008,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04963831379396358,0.0009977550511349464,0.22649039660763282,0.13444749314043403,0.0009977550511349464
