model_year,milage,accident,clean_title,price,log_price,car_age,engine_hp,engine_displacement_L,num_cylinders,is_turbo_supercharged,milage_per_year,is_luxury,is_electric,is_hybrid,is_common_color,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,fuel_type_Unknown,fuel_type_not supported,transmission_CVT,transmission_Manual,transmission_Unknown,engine_fuel_detail_Electric,engine_fuel_detail_Flex Fuel,engine_fuel_detail_Gasoline,engine_fuel_detail_Hybrid,engine_fuel_detail_Unknown,brand_freq,model_freq,ext_col_freq,int_col_freq,brand_model_freq
2013,-0.2623356454652944,1,0.0,10300.0,9.239996256883693,0.4121178467289197,-0.25303915096786656,0.00782849472300023,-0.13420722710911134,0,-0.60600576497745,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.09628336243452232,0.0007483162883512097,0.22649039660763282,0.5061112496882015,0.0007483162883512097
2021,-0.5732550596373275,1,0.0,38005.0,10.545499320981303,-0.8984863754118747,-0.16179092017170416,0.08158744970421634,-0.13420722710911134,0,0.43288263903343116,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.017959590920429036,0.0007483162883512097,0.0002494387627837366,0.11773509603392367,0.0007483162883512097
2022,-0.8098200217057276,0,0.0,54598.0,10.90777084654696,-1.062311903179474,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,0.1452197019203346,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.04065851833374907,0.0002494387627837366,0.08730356697430781,0.5061112496882015,0.0002494387627837366
2015,0.4624672698453252,0,0.0,15500.0,9.648659816955295,0.0844667911937211,0.2397012953314105,-0.13968941523943265,-0.13420722710911134,0,0.4807812069301563,0,0,1,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.014716887004240458,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
2021,-1.0495787063824884,0,0.0,34999.0,10.46310334047155,-0.8984863754118747,-0.16179092017170416,-1.2460737399576782,-0.13420722710911134,1,-1.0255548319922807,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.049887752556747315,0.0002494387627837366,0.0002494387627837366,0.5061112496882015,0.0002494387627837366
2016,1.3708040526555758,0,0.0,14798.0,9.602314889901848,-0.07935873657387821,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,1.9482298724809948,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.015964080818159143,0.0002494387627837366,0.09329009728111748,0.011224744325268148,0.0002494387627837366
2017,0.36875924121677545,0,0.0,31000.0,10.34177474101152,-0.2431842643414775,-0.3260377356047965,-1.2460737399576782,-1.4946036202328241,0,0.8578774927492696,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.049887752556747315,0.0004988775255674732,0.08730356697430781,0.5061112496882015,0.0004988775255674732
2001,3.0160684222357346,0,0.0,7300.0,8.895766604056085,2.378024179940111,-0.4172859664009589,0.524141179591515,1.2261891660146014,0,0.7602854696133439,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09353953604390122,0.0002494387627837366,0.01845846844599651,0.001746071339486156,0.0002494387627837366
2021,-0.7894719926320997,0,0.0,41927.0,10.643709140482002,-0.8984863754118747,-0.1526660970920879,-0.13968941523943265,-0.13420722710911134,0,-0.22914386144501647,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04065851833374907,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
2020,-0.5874451325439365,0,0.0,69950.0,11.155550275917102,-0.7346608476442754,1.882169449662334,-0.13968941523943265,-0.13420722710911134,0,-0.008741539832002442,1,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.021701172362185085,0.0007483162883512097,0.22649039660763282,0.5061112496882015,0.0007483162883512097
2021,-0.7096862996855059,0,0.0,73897.0,11.210441042970608,-0.8984863754118747,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,0.015148952989450362,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.03242703916188576,0.0002494387627837366,0.001247193813918683,0.0002494387627837366,0.0002494387627837366
2019,-0.8022086348905924,0,0.0,184606.0,12.125984520158603,-0.5708353198766761,3.123145388490143,1.1142128194412457,2.5865855591383142,0,-0.7125765476723898,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0022449488650536295,0.0004988775255674732,0.09329009728111748,0.5061112496882015,0.0004988775255674732
2021,-0.9986130132610426,0,0.0,53500.0,10.887455624298198,-0.8984863754118747,0.4951963415606652,-0.5084841901455145,-0.13420722710911134,0,-0.8695048918034372,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04963831379396358,0.0004988775255674732,0.007233724120728361,0.5061112496882015,0.0004988775255674732
2022,-0.8896822110022222,0,0.0,62000.0,11.034905792929415,-1.062311903179474,0.6594431569937576,-0.5084841901455145,-0.13420722710911134,0,-0.18081631855408617,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.012970815664754302,0.0004988775255674732,0.22649039660763282,0.03916188575704665,0.0004988775255674732
2020,-0.9335337435828885,0,0.0,47998.0,10.778935456339678,-0.7346608476442754,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,1,-0.8564821503533558,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.011723621850835619,0.0002494387627837366,0.09329009728111748,0.5061112496882015,0.0002494387627837366
2013,0.2884380738208756,0,0.0,29990.0,10.30865261563529,0.4121178467289197,0.43132258000335155,0.966694909478813,1.2261891660146014,0,-0.043874554661209826,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.03242703916188576,0.0004988775255674732,0.20354203043152905,0.5061112496882015,0.0004988775255674732
2021,-1.2054400193054846,0,0.0,250000.0,12.429220196836383,-0.8984863754118747,-0.16179092017170416,-1.2460737399576782,-0.13420722710911134,1,-1.5027807278793623,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.07857321027687703,0.0022449488650536295,0.12372162634073335,0.031928161636318286,0.0022449488650536295
2013,-0.06967958823998618,0,0.0,16800.0,9.729193687429403,0.4121178467289197,-0.20741503556978536,-0.06593046025821621,-0.13420722710911134,0,-0.4093769520355819,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.022449488650536295,0.0004988775255674732,0.22649039660763282,0.11773509603392367,0.0004988775255674732
2003,0.17751836646463307,0,0.0,11000.0,9.305741456739435,2.0503731244049126,-0.3716618510028777,-0.13968941523943265,-0.13420722710911134,0,-0.813611011672449,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.028934896482913443,0.0007483162883512097,0.002993265153404839,0.03317535545023697,0.0007483162883512097
2018,-0.5635400231999187,0,0.0,68750.0,11.13824656087758,-0.4070097921090768,2.028166618936194,0.966694909478813,1.2261891660146014,0,-0.4219747841877029,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.011723621850835619,0.0014966325767024195,0.01845846844599651,0.5061112496882015,0.0014966325767024195
2023,-1.1343940343350636,0,0.0,60000.0,11.002116507732017,-1.2261374309470734,0.43132258000335155,-0.13968941523943265,-0.13420722710911134,0,-0.9690491018055617,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.004988775255674732,0.0009977550511349464,0.01845846844599651,0.13444749314043403,0.0009977550511349464
2000,1.3155928121146323,0,0.0,4500.0,8.412054873292933,2.5418497077077107,-1.785279442497026,-1.0985558299952454,-1.4946036202328241,0,-0.3506107642208965,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.07283611873285109,0.0002494387627837366,0.08730356697430781,0.5061112496882015,0.0002494387627837366
2020,-0.7406290732204025,0,0.0,38598.0,10.560981648381585,-0.7346608476442754,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,1,-0.38396407894213347,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.09353953604390122,0.0002494387627837366,0.20354203043152905,0.13444749314043403,0.0002494387627837366
2023,-1.1836768077586908,0,0.0,58504.0,10.976867499653059,-1.2261374309470734,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,1,-1.2708431695965754,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.09628336243452232,0.005986530306809678,0.0004988775255674732,0.5061112496882015,0.005986530306809678
2021,-0.24321155799008018,0,0.0,61000.0,11.0186455364637,-0.8984863754118747,0.24882611841102673,1.187971774422462,1.2261891660146014,0,1.4434304318210702,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07283611873285109,0.0004988775255674732,0.08730356697430781,0.5061112496882015,0.0004988775255674732
2022,-1.0148684876149747,0,0.0,32300.0,10.382853468483827,-1.062311903179474,-0.47203490487865635,-1.2460737399576782,-1.4946036202328241,0,-0.6918871494989041,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.017959590920429036,0.0004988775255674732,0.22649039660763282,0.5061112496882015,0.0004988775255674732
2016,0.6085944222434372,0,0.0,13998.0,9.546741177474825,-0.07935873657387821,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,0.9109937198873639,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.028934896482913443,0.0002494387627837366,0.08730356697430781,0.5061112496882015,0.0002494387627837366
2021,-0.9029925758849714,0,0.0,59995.0,11.002033172315251,-0.8984863754118747,0.4951963415606652,-1.2460737399576782,-1.4946036202328241,0,-0.5767282685598285,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07857321027687703,0.0002494387627837366,0.12372162634073335,0.5061112496882015,0.0002494387627837366
2015,0.08189792908856186,0,0.0,25700.0,10.154285180632154,0.0844667911937211,1.0700601955764886,0.524141179591515,1.2261891660146014,0,0.014680752811280577,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09353953604390122,0.0007483162883512097,0.12372162634073335,0.5061112496882015,0.0007483162883512097
2017,0.3282161757693213,0,0.0,21375.0,9.970024076336372,-0.2431842643414775,-0.16179092017170416,-1.2460737399576782,-0.13420722710911134,1,0.795808840863045,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.049887752556747315,0.001995510102269893,0.0014966325767024195,0.5061112496882015,0.001995510102269893
2018,-0.6868903874150505,0,0.0,48000.0,10.778977123006351,-0.4070097921090768,0.3126998799683404,-0.5084841901455145,-0.13420722710911134,0,-0.6377930038735092,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07857321027687703,0.001247193813918683,0.09329009728111748,0.5061112496882015,0.001247193813918683
2006,3.0160684222357346,1,0.0,10900.0,9.296609807128359,1.5588965411021147,0.1575778876148643,1.4830075943473278,1.2261891660146014,0,2.099041231820923,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.022449488650536295,0.0002494387627837366,0.09329009728111748,0.11773509603392367,0.0002494387627837366
2020,-0.5676517020070897,0,0.0,24998.0,10.126591103050316,-0.7346608476442754,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,0.03974227140132915,1,0,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.09353953604390122,0.0004988775255674732,0.22649039660763282,0.5061112496882015,0.0004988775255674732
2011,2.032554851560414,0,0.0,5999.0,8.699514748210191,0.7397689022641183,-0.47203490487865635,-0.13968941523943265,-0.13420722710911134,0,1.2593999223618126,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.018957345971563982,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
2016,1.0323650766067094,0,0.0,46900.0,10.75579427616868,-0.07935873657387821,0.5043211646402815,1.4830075943473278,1.2261891660146014,0,1.4876726617109854,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04065851833374907,0.0007483162883512097,0.22649039660763282,0.13444749314043403,0.0007483162883512097
2017,1.0381023028492737,0,0.0,15900.0,9.674137279312397,-0.2431842643414775,-1.3480179205218155,-0.9510379200328128,-1.4946036202328241,0,1.8825958021916562,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.035669743078074335,0.0002494387627837366,0.06510351708655525,0.5061112496882015,0.0002494387627837366
2018,-0.3912128709607631,0,0.0,33598.0,10.42225158360364,-0.4070097921090768,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,1,-0.12046502022044689,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.09353953604390122,0.0009977550511349464,0.12372162634073335,0.5061112496882015,0.0009977550511349464
2012,1.1638431779988074,0,0.0,8999.0,9.104979856318357,0.575943374496519,-1.065148405053712,-1.2460737399576782,-1.4946036202328241,0,0.6610416009836768,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.049887752556747315,0.0002494387627837366,0.09329009728111748,0.5061112496882015,0.0002494387627837366
2007,-0.9278538896027498,0,0.0,8200.0,9.012011377036412,1.3950710133345154,-1.4118916820791292,-0.7297610550891636,-0.13420722710911134,0,-1.3906472401883354,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.017959590920429036,0.0004988775255674732,0.010476428036916938,0.13444749314043403,0.0004988775255674732
2014,0.1010220165637761,1,0.0,20000.0,9.90353755128617,0.2482923189613204,-0.8005285357448411,-1.2460737399576782,-1.4946036202328241,0,-0.1109470399110589,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09353953604390122,0.001247193813918683,0.20354203043152905,0.13444749314043403,0.001247193813918683
2011,-0.8513575397018929,0,0.0,79950.0,11.289169226001263,0.7397689022641183,2.0464162650954263,1.7042844592909767,2.5865855591383142,0,-1.26349851587772,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.008231479171863308,0.0007483162883512097,0.22649039660763282,0.5061112496882015,0.0007483162883512097
2023,-1.1807125742000326,0,0.0,45498.0,10.725445626675544,-1.2261374309470734,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,0,-1.252691023493507,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.015714642055375407,0.0002494387627837366,0.0007483162883512097,0.11773509603392367,0.0002494387627837366
2007,2.390538645008949,1,0.0,14000.0,9.546884034617925,1.3950710133345154,-0.16179092017170416,-0.5084841901455145,-0.13420722710911134,0,0.8672335050042648,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.022449488650536295,0.0014966325767024195,0.20354203043152905,0.11773509603392367,0.0002494387627837366
2019,-1.047398560410314,0,0.0,75798.0,11.235840378931302,-0.5708353198766761,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,1,-1.2130684675942134,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.09353953604390122,0.0002494387627837366,0.08730356697430781,0.5061112496882015,0.0002494387627837366
2022,-1.1697353479892596,0,0.0,119999.0,11.695247021764184,-1.062311903179474,1.9004190958215665,-0.13968941523943265,-0.13420722710911134,0,-1.3241284554859396,0,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0007483162883512097,0.0004988775255674732,0.06510351708655525,0.13444749314043403,0.0004988775255674732
2012,-0.2049633830396517,1,0.0,36880.0,10.515451792270389,0.575943374496519,-0.16179092017170416,-0.5084841901455145,-0.13420722710911134,0,-0.6285270412053806,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.049887752556747315,0.0004988775255674732,0.22649039660763282,0.03916188575704665,0.0004988775255674732
2021,-0.2556230907614942,0,0.0,43147.0,10.67239134549532,-0.8984863754118747,-0.16179092017170416,1.187971774422462,-0.13420722710911134,0,1.4054280261240502,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.07283611873285109,0.0002494387627837366,0.22649039660763282,0.014716887004240458,0.0002494387627837366
